date,shrub_num,aspect,tag_num,treatment,species,plant_nr,dist_fr_shr,tp_color,flower_type,flower_count
6/15/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
6/15/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
6/17/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
6/17/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
6/22/21,5,north,104,shrub,CARRUP,1,24,WS,new,1
6/22/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
6/30/21,5,north,104,shrub,CARRUP,1,24,WS,new,NaN
6/30/21,5,north,104,shrub,CARRUP,1,24,WS,old,NaN
7/1/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
7/1/21,5,north,104,shrub,CARRUP,1,24,WS,old,1
7/8/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
7/8/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
7/14/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
7/14/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
7/21/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
7/21/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
7/28/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
7/28/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
8/4/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
8/4/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
8/10/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
8/10/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
8/19/21,5,north,104,shrub,CARRUP,1,24,WS,new,0
8/19/21,5,north,104,shrub,CARRUP,1,24,WS,old,0
6/15/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
6/15/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
6/17/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
6/17/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
6/22/21,5,north,104,shrub,CARRUP,2,31,GH,new,1
6/22/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
6/30/21,5,north,104,shrub,CARRUP,2,31,GH,new,NaN
6/30/21,5,north,104,shrub,CARRUP,2,31,GH,old,NaN
7/1/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
7/1/21,5,north,104,shrub,CARRUP,2,31,GH,old,1
7/8/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
7/8/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
7/14/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
7/14/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
7/21/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
7/21/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
7/28/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
7/28/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
8/4/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
8/4/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
8/10/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
8/10/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
8/19/21,5,north,104,shrub,CARRUP,2,31,GH,new,0
8/19/21,5,north,104,shrub,CARRUP,2,31,GH,old,0
6/15/21,5,north,104,shrub,CARRUP,3,26,RH,new,0
6/15/21,5,north,104,shrub,CARRUP,3,26,RH,old,0
6/17/21,5,north,104,shrub,CARRUP,3,26,RH,new,0
6/17/21,5,north,104,shrub,CARRUP,3,26,RH,old,0
6/22/21,5,north,104,shrub,CARRUP,3,26,RH,new,1
6/22/21,5,north,104,shrub,CARRUP,3,26,RH,old,0
6/30/21,5,north,104,shrub,CARRUP,3,26,RH,new,NaN
6/30/21,5,north,104,shrub,CARRUP,3,26,RH,old,NaN
7/1/21,5,north,104,shrub,CARRUP,3,26,RH,new,0
7/1/21,5,north,104,shrub,CARRUP,3,26,RH,old,1
7/8/21,5,north,104,shrub,CARRUP,3,26,RH,new,0
7/8/21,5,north,104,shrub,CARRUP,3,26,RH,old,0
7/14/21,5,north,104,shrub,CARRUP,3,26,RH,new,0
7/14/21,5,north,104,shrub,CARRUP,3,26,RH,old,0
7/21/21,5,north,104,shrub,CARRUP,3,26,RH,new,0
